Year,State,State abbr,Generation Region,value,Price (original),unit of value,unit of Price,Source,source link,other notes
2008,United States,US,US,2.137079832,40.69,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2009,United States,US,US,2.275735294,43.33,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2010,United States,US,US,2.325105042,44.27,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2011,United States,US,US,2.428571429,46.24,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2012,United States,US,US,2.403886555,45.77,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2013,United States,US,US,2.364495798,45.02,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2014,United States,US,US,2.398634454,45.67,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2015,United States,US,US,2.237394958,42.6,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2016,United States,US,US,2.134453782,40.64,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2017,United States,US,US,2.057773109,39.18,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2018,United States,US,US,2.056722689,39.16,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2019,United States,US,US,2.029411765,38.64,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2008,New England,Region,Region,3.757878151,71.55,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2009,New England,Region,Region,4.329831933,82.44,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2010,New England,Region,Region,4.305672269,81.98,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2011,New England,Region,Region,4.601890756,87.62,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2012,New England,Region,Region,4.638655462,88.32,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2013,New England,Region,Region,4.539390756,86.43,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2014,New England,Region,Region,4.206932773,80.1,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2015,New England,Region,Region,4.18697479,79.72,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2016,New England,Region,Region,3.62447479,69.01,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2017,New England,Region,Region,4.466911765,85.05,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2018,New England,Region,Region,4.882878151,92.97,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2019,New England,Region,Region,5.837184874,111.14,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2008,Connecticut,CT,NPCC,3.381827731,64.39,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2009,Connecticut,CT,NPCC,4.148109244,78.98,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2010,Connecticut,CT,NPCC,4.221113445,80.37,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2011,Connecticut,CT,NPCC,3.639180672,69.29,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2012,Connecticut,CT,NPCC,4.207457983,80.11,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2013,Connecticut,CT,NPCC,3.642857143,69.36,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2014,Connecticut,CT,NPCC,3.552521008,67.64,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2015,Connecticut,CT,NPCC,3.649159664,69.48,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2016,Connecticut,CT,NPCC,2.848739496,54.24,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2017,Connecticut,CT,NPCC,0,0,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2018,Connecticut,CT,NPCC,3.792542017,72.21,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2019,Connecticut,CT,NPCC,0,0,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2008,Maine,ME,NPCC,5.142331933,97.91,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2009,Maine,ME,NPCC,6.93960084,132.13,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2010,Maine,ME,NPCC,7.488970588,142.59,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2011,Maine,ME,NPCC,8.518382353,162.19,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2012,Maine,ME,NPCC,9.970588235,189.84,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2013,Maine,ME,NPCC,6.49894958,123.74,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2014,Maine,ME,NPCC,7.06092437,134.44,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
2015,Maine,ME,NPCC,6.566176471,125.02,$/MMBtu,$/short ton,EIA Coal Power Prices,"https://www.eia.gov/coal/data/browser/
